date;brand_id;phrase_id;shows
2021-07-01;1;17;5227
2021-07-01;1;18;20291
2021-07-01;1;19;2080
2021-07-01;1;20;133
2021-07-01;1;21;1655
2021-07-01;1;22;190
2021-07-02;0;0;1697
2021-07-02;0;1;63
2021-07-02;0;2;75
2021-07-02;0;3;158
2021-07-02;0;4;4
2021-07-02;0;5;66
2021-07-02;0;6;3
2021-07-02;0;7;10127
2021-07-02;0;8;1853
2021-07-02;0;9;482
2021-07-02;0;10;80
2021-07-02;1;11;1135
2021-07-02;1;12;55
2021-07-02;1;13;107
2021-07-02;1;14;472
2021-07-02;1;15;962
2021-07-02;1;16;46
2021-07-02;1;17;5227
2021-07-02;1;18;20291
2021-07-02;1;19;2080
2021-07-02;1;20;133
2021-07-02;1;21;1655
2021-07-02;1;22;190
2021-07-03;0;0;1722
2021-07-03;0;1;69
2021-07-03;0;2;74
2021-07-03;0;3;160
2021-07-03;0;4;4
2021-07-03;0;5;69
2021-07-03;0;6;3
2021-07-03;0;7;10248
2021-07-03;0;8;1872
2021-07-03;0;9;494
2021-07-03;0;10;80
2021-07-03;1;11;1162
2021-07-03;1;12;58
2021-07-03;1;13;122
2021-07-03;1;14;473
2021-07-03;1;15;991
2021-07-03;1;16;50
2021-07-03;1;17;5370
2021-07-03;1;18;20529
2021-07-03;1;19;2150
2021-07-03;1;20;137
2021-07-03;1;21;1673
2021-07-03;1;22;200
2021-07-04;0;0;1727
2021-07-04;0;1;71
2021-07-04;0;2;76
2021-07-04;0;3;154
2021-07-04;0;4;4
2021-07-04;0;5;68
2021-07-04;0;6;3
2021-07-04;0;7;10304
2021-07-04;0;8;1860
2021-07-04;0;9;497
2021-07-04;0;10;84
2021-07-04;1;11;1165
2021-07-04;1;12;57
2021-07-04;1;13;126
2021-07-04;1;14;475
2021-07-04;1;15;984
2021-07-04;1;16;51
2021-07-04;1;17;5397
2021-07-04;1;18;20551
2021-07-04;1;19;2130
2021-07-04;1;20;137
2021-07-04;1;21;1688
2021-07-04;1;22;206
2021-07-05;0;0;1726
2021-07-05;0;1;75
2021-07-05;0;2;81
2021-07-05;0;3;152
2021-07-05;0;4;4
2021-07-05;0;5;68
2021-07-05;0;6;3
2021-07-05;0;7;10314
2021-07-05;0;8;1863
2021-07-05;0;9;488
2021-07-05;0;10;79
2021-07-05;1;11;1177
2021-07-05;1;12;58
2021-07-05;1;13;128
2021-07-05;1;14;478
2021-07-05;1;15;981
2021-07-05;1;16;50
2021-07-05;1;17;5405
2021-07-05;1;18;20550
2021-07-05;1;19;2097
2021-07-05;1;20;132
2021-07-05;1;21;1715
2021-07-05;1;22;207
2021-07-06;1;20;134
2021-07-06;0;0;1697
2021-07-06;0;1;73
2021-07-06;0;2;74
2021-07-06;0;3;142
2021-07-06;0;4;4
2021-07-06;0;5;70
2021-07-06;0;6;3
2021-07-06;0;7;10297
2021-07-06;0;8;1823
2021-07-06;0;9;515
2021-07-06;0;10;77
2021-07-06;1;11;1148
2021-07-06;1;12;54
2021-07-06;1;13;130
2021-07-06;1;14;480
2021-07-06;1;15;953
2021-07-06;1;16;50
2021-07-06;1;17;5420
2021-07-06;1;18;20431
2021-07-06;1;19;2128
2021-07-06;1;21;1706
2021-07-06;1;22;205
2021-07-07;0;0;1664
2021-07-07;0;1;74
2021-07-07;0;2;76
2021-07-07;0;3;139
2021-07-07;0;4;4
2021-07-07;0;5;75
2021-07-07;0;6;3
2021-07-07;0;7;10339
2021-07-07;0;8;1828
2021-07-07;0;9;521
2021-07-07;0;10;80
2021-07-07;1;11;1141
2021-07-07;1;12;55
2021-07-07;1;13;132
2021-07-07;1;14;484
2021-07-07;1;15;945
2021-07-07;1;16;51
2021-07-07;1;17;5448
2021-07-07;1;18;20464
2021-07-07;1;19;2127
2021-07-07;1;20;132
2021-07-07;1;21;1721
2021-07-07;1;22;221
2021-07-08;0;0;1664
2021-07-08;0;1;74
2021-07-08;0;2;76
2021-07-08;0;3;139
2021-07-08;0;4;4
2021-07-08;0;5;75
2021-07-08;0;6;3
2021-07-08;0;7;10339
2021-07-08;0;8;1828
2021-07-08;0;9;521
2021-07-08;0;10;80
2021-07-08;1;11;1141
2021-07-08;1;12;55
2021-07-08;1;13;132
2021-07-08;1;14;484
2021-07-08;1;15;945
2021-07-08;1;16;51
